time,value,mets,level
06:57:00,63,,
06:57:10,67,,
06:57:20,66,,
06:57:30,73,,
06:57:40,69,,
06:57:50,68,,
06:58:00,66,,
06:58:10,67,,
06:58:20,67,,
06:58:30,68,,
06:58:40,66,,
06:58:50,68,,
06:59:05,68,,
06:59:10,74,,
06:59:20,68,,
06:59:35,68,,
06:59:40,71,,
06:59:50,68,,
07:00:05,68,,
07:00:10,69,,
07:00:20,71,,
07:00:30,73,,
07:00:40,72,,
07:00:50,71,,
07:01:00,69,,
07:01:10,71,,
07:01:20,73,,
07:01:30,70,,
07:01:40,71,,
07:01:50,70,,
07:02:00,71,,
07:02:10,72,,
07:02:25,72,,
07:02:30,71,,
07:02:45,71,,
07:02:50,72,,
07:03:00,73,,
07:03:15,73,,
07:03:30,72,,
07:03:40,73,,
07:03:55,73,,
07:04:00,71,,
07:04:10,73,,
07:04:25,73,,
07:04:30,72,,
07:04:45,72,,
07:04:50,71,,
07:05:00,70,,
07:05:10,72,,
07:05:20,71,,
07:05:30,72,,
07:05:40,70,,
07:05:50,71,,
07:06:00,70,,
07:06:10,71,,
07:06:20,70,,
07:06:30,71,,
07:06:40,73,,
07:06:50,72,,
07:07:05,72,,
07:07:20,72,,
07:07:30,71,,
07:07:40,72,,
07:07:50,72,,
07:08:00,73,,
07:08:15,73,,
07:08:20,71,,
07:08:35,71,,
07:08:40,72,,
07:08:50,74,,
07:09:00,76,,
07:09:10,75,,
07:09:20,71,,
07:09:30,69,,
07:09:40,68,,
07:09:50,70,,
07:10:00,69,,
07:10:10,70,,
07:10:20,71,,
07:10:30,72,,
07:10:40,70,,
07:10:50,71,,
07:11:00,71,,
07:11:10,72,,
07:11:20,72,,
07:11:30,70,,
07:11:40,71,,
07:11:50,74,,
07:12:05,74,,
07:12:10,73,,
07:12:20,73,,
07:12:30,72,,
07:12:40,73,,
07:12:55,73,,
07:13:10,72,,
07:13:25,72,,
07:13:30,73,,
07:13:40,74,,
07:13:55,74,,
07:14:10,73,,
07:14:20,72,,
07:14:30,71,,
07:14:40,74,,
07:14:55,74,,
07:15:00,75,,
07:15:10,74,,
07:15:20,75,,
07:15:30,74,,
07:15:40,74,,
07:15:50,73,,
07:16:00,72,,
07:16:10,70,,
07:16:20,71,,
07:16:30,73,,
07:16:40,74,,
07:16:50,72,,
07:17:00,73,,
07:17:10,72,,
07:17:20,73,,
07:17:30,72,,
07:17:45,72,,
07:17:50,73,,
07:18:00,72,,
07:18:10,71,,
07:18:20,73,,
07:18:35,73,,
07:18:50,72,,
07:19:00,73,,
07:19:10,74,,
07:19:20,72,,
07:19:30,73,,
07:19:40,72,,
07:19:50,73,,
07:20:00,71,,
07:20:10,73,,
07:20:20,73,,
07:20:30,72,,
07:20:45,72,,
07:20:50,73,,
07:21:00,74,,
07:21:10,73,,
07:21:20,72,,
07:21:35,72,,
07:21:40,73,,
07:21:55,73,,
07:22:00,72,,
07:22:10,71,,
07:22:25,71,,
07:22:30,70,,
07:22:40,72,,
07:22:55,72,,
07:23:10,72,,
07:23:20,71,,
07:23:35,71,,
07:23:40,71,,
07:23:50,72,,
07:24:00,70,,
07:24:10,71,,
07:24:20,71,,
07:24:30,72,,
07:24:45,72,,
07:24:50,71,,
07:25:00,70,,
07:25:10,73,,
07:25:15,73,,
07:25:30,73,,
07:25:35,74,,
07:25:40,75,,
07:25:45,77,,
07:25:50,68,,
07:25:55,67,,
07:26:00,66,,
07:26:10,63,,
07:26:15,66,,
07:26:30,66,,
07:26:35,66,,
07:26:40,65,,
07:26:45,64,,
07:26:50,63,,
07:27:00,62,,
07:27:05,56,,
07:27:10,59,,
07:27:25,59,,
07:27:30,62,,
07:27:40,61,,
07:27:50,63,,
07:28:00,59,,
07:28:10,62,,
07:28:20,63,,
07:28:30,66,,
07:28:40,65,,
07:28:50,64,,
07:29:00,61,,
07:29:10,65,,
07:29:25,65,,
07:29:30,67,,
07:29:40,60,,
07:29:50,62,,
07:30:00,63,,
07:30:10,64,,
07:30:20,65,,
07:30:30,67,,
07:30:40,66,,
07:30:50,68,,
07:31:00,68,,
07:31:10,68,,
07:31:25,68,,
07:31:40,68,,
07:31:50,68,,
